   k      z_lev     z_lay     t_lev     t_lay     p_lev     p_lay     q_lev     q_lay   rho_lev   rho_lay
    1      0.00      0.00   300.000   300.000 100000.00 100000.00 0.0180000 0.0180000  1.148586  1.148586
    2      0.00    125.00   300.000   298.779 100000.00  98580.48 0.0180000 0.0180000  1.148586  1.136910
    3    250.00    375.00   297.557   297.057  97181.02  95793.55 0.0180000 0.0180000  1.125370  1.111173
    4    500.00    625.00   296.556   296.051  94425.84  93073.16 0.0191812 0.0180000  1.096376  1.083286
    5    750.00    875.00   295.545   295.035  91739.82  90421.14 0.0185626 0.0180000  1.069230  1.056041
    6   1000.00   1125.00   294.525   294.010  89121.35  87835.80 0.0179469 0.0176390  1.042696  1.029647
    7   1250.00   1375.00   293.495   292.975  86568.88  85315.77 0.0173342 0.0170279  1.016764  1.004012
    8   1500.00   1625.00   292.454   291.928  84080.88  82859.49 0.0167249 0.0164203  0.991421  0.978959
    9   1750.00   1875.00   291.403   290.871  81655.84  80465.34 0.0161192 0.0158165  0.966656  0.954478
   10   2000.00   2125.00   290.339   289.801  79292.31  78132.09 0.0155173 0.0152166  0.942457  0.930560
   11   2250.00   2375.00   289.263   288.719  76988.85  75858.12 0.0149197 0.0146211  0.918814  0.907190
   12   2500.00   2625.00   288.174   287.623  74744.05  73642.17 0.0143265 0.0140303  0.895715  0.884360
   13   2750.00   2875.00   287.072   286.513  72556.52  71482.77 0.0137381 0.0134444  0.873150  0.862059
   14   3000.00   3125.00   285.955   285.388  70424.90  69378.62 0.0131549 0.0128639  0.851109  0.840276
   15   3250.00   3375.00   284.822   284.248  68347.88  67328.45 0.0125773 0.0122892  0.829581  0.819002
   16   3500.00   3625.00   283.674   283.091  66324.14  65330.82 0.0120056 0.0117206  0.808557  0.798224
   17   3750.00   3875.00   282.509   281.917  64352.42  63384.67 0.0114404 0.0111587  0.788026  0.777937
   18   4000.00   4125.00   281.325   280.724  62431.47  61488.63 0.0108820 0.0106039  0.767978  0.758128
   19   4250.00   4375.00   280.123   279.512  60560.06  59641.57 0.0103309 0.0100566  0.748405  0.738789
   20   4500.00   4625.00   278.900   278.278  58737.00  57842.27 0.0097877 0.0095175  0.729298  0.719911
   21   4750.00   4875.00   277.657   277.023  56961.09  56089.50 0.0092529 0.0089871  0.710646  0.701484
   22   5000.00   5125.00   276.390   275.745  55231.21  54382.16 0.0087271 0.0084660  0.692441  0.683500
   23   5250.00   5375.00   275.100   274.442  53546.20  52719.20 0.0082109 0.0079542  0.674675  0.665953
   24   5500.00   5625.00   273.783   273.108  51904.96  51099.39 0.0077036 0.0074475  0.657345  0.648844
   25   5750.00   5875.00   272.433   271.740  50306.38  49521.75 0.0071535 0.0068597  0.640472  0.632203
   26   6000.00   6125.00   271.047   270.336  48749.34  47985.09 0.0065759 0.0062926  0.624041  0.615980
   27   6250.00   6375.00   269.624   268.893  47232.79  46488.39 0.0060196 0.0057473  0.608023  0.600166
   28   6500.00   6625.00   268.163   267.411  45755.66  45030.51 0.0054855 0.0052249  0.592411  0.584754
   29   6750.00   6875.00   266.659   265.886  44316.92  43610.62 0.0049748 0.0047263  0.577197  0.569736
   30   7000.00   7125.00   265.113   264.317  42915.55  42227.52 0.0044885 0.0042527  0.562372  0.555102
   31   7250.00   7375.00   263.521   262.701  41550.57  40880.41 0.0040275 0.0038049  0.547929  0.540846
   32   7500.00   7625.00   261.881   261.037  40221.01  39568.20 0.0035928 0.0033838  0.533857  0.526958
   33   7750.00   7875.00   260.193   259.323  38925.93  38289.97 0.0031852 0.0029901  0.520149  0.513427
   34   8000.00   8125.00   258.454   257.559  37664.39  37044.87 0.0028054 0.0026246  0.506795  0.500247
   35   8250.00   8375.00   256.663   255.742  36435.52  35831.98 0.0024539 0.0022875  0.493786  0.487406
   36   8500.00   8625.00   254.820   253.872  35238.43  34650.45 0.0021310 0.0019790  0.481112  0.474894
   37   8750.00   8875.00   252.924   251.950  34072.29  33499.47 0.0018366 0.0016991  0.468761  0.462701
   38   9000.00   9125.00   250.976   249.976  32936.28  32378.23 0.0015706 0.0014472  0.456724  0.450815
   39   9250.00   9375.00   248.976   247.951  31829.63  31285.95 0.0013324 0.0012227  0.444988  0.439224
   40   9500.00   9625.00   246.926   245.878  30751.57  30221.91 0.0011210 0.0010245  0.433541  0.427916
   41   9750.00   9875.00   244.829   243.757  29701.40  29185.42 0.0009353 0.0008512  0.422371  0.416879
   42  10000.00  10125.00   242.686   241.594  28678.42  28175.80 0.0007738 0.0007013  0.411465  0.406099
   43  10250.00  10375.00   240.501   239.390  27681.98  27192.42 0.0006348 0.0005729  0.400810  0.395565
   44  10500.00  10625.00   238.278   237.149  26711.47  26234.62 0.0005163 0.0004640  0.390395  0.385263
   45  10750.00  10875.00   236.020   234.876  25766.29  25301.92 0.0004164 0.0003727  0.380207  0.375184
   46  11000.00  11125.00   233.731   232.573  24845.89  24393.73 0.0003331 0.0002968  0.370235  0.365315
